DUR,CENS,AGE,ED,WHITE,LOCRAT
469,0,26,13,1,3
36,1,23,12,1,3
301,0,23,12,1,4
105,0,27,12,0,6
819,1,21,12,1,3
77,0,18,10,1,3
154,0,21,12,0,2
42,0,23,12,0,3
98,0,21,13,0,5
161,0,23,13,0,3
299,1,23,11,0,4
126,0,26,14,1,4
91,0,31,16,1,1
759,1,23,14,1,3
224,0,17,10,0,3
203,0,22,13,1,6
98,0,27,13,0,2
373,1,23,12,0,2
287,0,20,12,1,3
21,0,21,10,1,2
168,0,33,12,0,6
140,0,21,12,0,4
252,0,23,13,1,5
158,1,21,11,0,6
215,1,22,12,0,4
35,0,19,12,0,6
967,1,20,12,1,3
1174,1,19,9,0,5
231,0,20,12,1,4
659,1,21,12,1,4
98,0,21,11,0,6
105,0,22,13,1,2
28,0,19,12,1,3
140,0,24,12,0,4
14,0,20,12,1,4
70,0,21,12,1,3
344,1,22,12,1,4
35,0,19,10,0,3
56,0,18,10,0,2
203,0,20,12,0,4
8,1,29,12,0,2
126,1,23,11,0,4
112,0,22,11,0,3
308,1,31,17,0,2
91,0,21,12,1,3
63,0,19,9,0,3
28,0,21,12,1,4
77,0,19,7,1,4
175,0,20,11,0,2
35,1,27,15,0,3
871,1,21,13,1,3
84,0,20,10,1,4
126,0,19,12,0,3
273,0,22,12,0,3
98,0,18,8,1,2
985,1,24,16,1,2
91,0,26,12,0,2
42,0,24,12,0,4
987,0,19,12,1,4
42,0,20,12,0,3
105,0,20,12,0,2
737,1,24,15,0,3
378,0,26,11,0,5
301,0,18,10,1,2
147,0,20,12,1,3
56,0,20,12,1,2
883,1,24,15,0,4
935,1,24,15,0,3
567,0,24,14,1,2
112,0,20,12,0,5
105,0,20,11,1,3
140,0,22,11,0,6
98,0,19,12,1,3
21,0,22,14,0,2
574,0,22,12,1,3
664,1,21,12,0,5
420,0,21,12,1,4
112,0,19,8,1,2
63,0,26,12,0,4
56,0,18,10,1,3
732,1,19,9,0,3
735,1,22,10,1,4
1388,1,23,13,1,2
315,0,21,12,1,3
175,0,28,12,1,3
896,0,22,13,1,3
98,0,20,12,0,4
154,0,22,13,1,2
294,0,23,16,1,3
511,0,23,16,0,3
21,0,23,12,0,2
434,0,19,11,0,3
